author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
ИНКОМ-Недвижимость,2,7,5,120.0,23000000,Можайский,Можайское шоссе,Кунцевская,не указано,Большая кольцевая линия,ЗАО,4,25,75,0,95,0,5,0,91.0,10.73,138610,2655.9,1525,22,1,0,3,12917.99
Аврора Проперти,11,12,5,188.5,189000000,Тверской,1-й Тверской-Ямской переулок,Маяковская,не указано,Замоскворецкая линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,1297,62,1,0,4,10710.32
Свой родной дом,5,17,2,64.0,12300000,Некрасовка,Покровская,Некрасовка,Некрасовка,Некрасовская линия,ЮВАО,7,67,33,0,100,0,0,0,116.0,5.58,71943,385.5,214,30,1,0,5,12893.01
ФСК,-1,-1,-1,3.0,20597330,Хорошевский,Зорге,Зорге,Рихард,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,238,1,2,1,1.0
PEOPLE,6,21,3,127.6,122230000,Пресненский,2-я Звенигородская,Улица 1905 года,Lucky,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,193,1,0,5,10945.47
Владис,2,5,1,34.1,9500000,Марфино,Комдива Орлова,Окружная,не указано,Люблинско-Дмитровская линия,СВАО,4,33,67,0,83,6,11,0,103.0,2.97,35387,711.1,569,246,1,0,2,11914.81
не указано,13,19,1,43.7,14167296,Богородское,3-я Гражданская,Бульвар Рокоссовского,SELF,Сокольническая линия,ВАО,6,7,88,5,91,0,9,0,47.0,10.24,109324,1744.1,1452,202,1,0,5,10676.17
Донстрой,34,41,1,45.6,22048740,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,103,1,0,5,1.0
АЯКС,11,18,4,61.9,12490000,не указано,не указано,Прокшино,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,2,0,0,5,1.0
Пионер,14,24,3,120.0,68056320,Даниловский,не указано,Павелецкая,Хай Лайф ЖК,Замоскворецкая линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1297,118,1,0,5,7485.4
Этажи Москва,6,9,2,36.3,14150000,Басманный,Фридриха Энгельса,Бауманская,не указано,Арбатско-Покровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1065,257,1,0,3,13225.09
GRAVION,6,9,1,54.92,57491169,Якиманка,Ленинский проспект,Октябрьская,CULT (Апартаменты премиум-класса),Кольцевая линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,597,42,1,0,3,5765.0
не указано,5,9,3,84.0,38796507,Кунцево,Маршала Тимошенко,Молодежная,TWICE,None,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,-1,202,1,0,3,9200.72
Города,13,17,2,54.0,25900000,Ломоносовский,Гарибальди,Новые Черёмушки,не указано,Калужско-Рижская линия,ЮЗАО,5,3,70,27,13,0,87,0,17.0,3.34,88320,2881.5,977,12,1,0,5,26443.11
ПИК,3,13,2,40.9,12454540,Покровское-Стрешнево,Волоколамское шоссе,Спартак,Holland park,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,1263,1,0,4,4604.81
Звездный,12,22,2,67.1,28800304,Останкинский,проспект Мира,ВДНХ,Сенатор,Калужско-Рижская линия,СВАО,3,12,36,52,3,3,18,76,38.0,12.46,63514,1131.4,977,7,1,0,5,5097.43
NF Group - ex-Knight Frank Russia,3,3,3,181.4,262000000,Якиманка,3-й Кадашевский переулок,Третьяковская,Кадашевские палаты,Солнцевская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,1062,318,1,2,2,5765.0
Донстрой,12,18,2,87.1,75007500,Пресненский,Средний Тишинский переулок,Белорусская,Дом на Тишинке,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,103,1,0,5,10945.47
Whitewill,2,3,2,55.0,19950000,Алексеевский,Новоалексеевская,Алексеевская,Серебряный фонтан,Калужско-Рижская линия,СВАО,5,17,57,26,6,3,54,37,72.0,5.29,80534,1607.9,977,332,1,0,2,15223.82
ФСК,-1,-1,-1,202.0,40176000,Хорошево-Мневники,к2/1,Хорошёво,Сидней Сити ЖК,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,238,1,2,1,1.0
NF Group - ex-Knight Frank Russia,34,65,3,189.0,174301212,Пресненский,набережная Пресненская,Деловой центр,Город Столиц,Солнцевская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1062,318,1,0,6,10945.47
ID 28330823,24,25,1,53.4,16790000,Головинский,Кронштадтский бульвар,Водный стадион,Кронштадтский,Замоскворецкая линия,САО,7,35,42,23,61,2,37,0,99.0,8.93,103197,1806.4,1297,1,0,0,5,11556.21
Chase R.E.S.,6,8,4,80.0,32499000,Беговой,Ленинградский проспект,Белорусская,не указано,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,138,1,0,3,7694.42
ID 75018243,8,12,2,55.2,9990000,не указано,не указано,Филатов Луг,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,2,0,0,4,1.0
Chase R.E.S.,6,14,2,75.0,39000000,Замоскворечье,Мытная,Серпуховская,Английский квартал,Серпуховско-Тимирязевская линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,807,138,1,0,4,13681.71
NF Group - ex-Knight Frank Russia,14,16,3,192.0,182400000,Арбат,Новый Арбат,Смоленская,Новый Арбат,Филёвская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,896,318,1,0,4,17120.85
ID 391042,2,5,2,42.1,11300000,Войковский,1-я Радиаторская,Войковская,не указано,Замоскворецкая линия,САО,5,38,31,31,50,0,50,0,101.0,6.61,70729,1531.0,1297,4,1,0,2,10700.3
ALVO Group,17,39,1,41.0,16200000,Раменки,Лобачевского,Аминьевская,Крылья,Большая кольцевая линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1525,38,1,0,5,7638.08
Абсолют Недвижимость,1,12,2,69.1,14369006,не указано,не указано,Рассказовка,не указано,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,95,1,1,4,1.0
Тимур Атабаев,7,8,2,53.0,50000000,Пресненский,Малая Бронная,Маяковская,не указано,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,1,0,0,3,10945.47
СПЕЦСТРОЙ-1,6,13,1,32.65,17620562,Дорогомилово,Поклонная,Парк Победы,Поклонная No. 7,Арбатско-Покровская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,1065,14,1,0,4,9571.45
Ramenky Realty,1,8,4,335.7,300000000,Хамовники,переулок Хилков,Кропоткинская,Парк Палас,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,35,1,1,3,10835.12
ЛюксДом,14,22,3,135.7,71989000,Хорошевский,Чапаевский переулок,Сокол,Триумф-Палас,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,45,1,0,5,1.0
Sminex-Интеко,19,21,1,40.17,18800000,Марфино,Академика Королева,Бутырская,Дом Достижение,Люблинско-Дмитровская линия,СВАО,4,33,67,0,83,6,11,0,103.0,2.97,35387,711.1,569,184,1,0,5,11914.81
ПИК,15,15,3,58.7,14488099,Люблино,не указано,Депо,Люблинский парк ЖК,None,ЮВАО,6,29,67,4,60,0,36,4,96.0,17.41,172054,2739.7,-1,1263,1,2,4,9882.48
КРОСТ,6,21,2,35.7,8817900,не указано,не указано,Прокшино,Новая Звезда ЖК,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,47,1,0,5,1.0
МИЦ Трейд-ИН,3,22,-1,34.0,10235000,Хорошевский,1-я Магистральная,Хорошёвская,Сити-комплекс Мята,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,7,1,0,5,1.0
Bespoke Estate,3,39,3,68.1,23500000,Раменки,Лобачевского,Мичуринский проспект,Крылья,Большая кольцевая линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1525,64,1,0,5,7638.08
ID 1012,2,14,4,85.4,17800000,Кузьминки,Окская,Текстильщики,не указано,Большая кольцевая линия,ЮВАО,4,16,49,35,29,0,61,10,60.0,8.15,145984,2312.7,1525,2,0,0,4,17912.15
SKYEST,10,21,3,86.0,52390000,Пресненский,Мантулинская,Деловой центр,City Park,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,25,1,0,5,10945.47
ID 11701684,9,9,1,33.1,8900000,Ясенево,Вильнюсская,Ясенево,не указано,Калужско-Рижская линия,ЮЗАО,2,18,32,50,48,0,52,0,59.0,25.37,177901,2969.3,977,1,0,2,3,7012.26
А101,4,18,1,21.7,6676021,не указано,не указано,Улица Горчакова,Дзен-кварталы ЖК,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,305,1,0,5,1.0
FORTE GROUP,2,9,2,86.4,85000000,Якиманка,Лаврушинский переулок,Третьяковская,не указано,Калининская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,156,11,1,0,3,5765.0
NF Group - ex-Knight Frank Russia,3,9,5,206.1,141803209,Басманный,Подсосенский переулок,Курская,Резиденция Чистые Пруды,Арбатско-Покровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1065,318,1,0,3,13225.09
ASTERUS,14,18,1,34.11,14234922,Покровское-Стрешнево,не указано,Спартак,Алиа ЖК,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,48,1,0,5,4604.81
ЛюксДом,10,11,4,127.1,165000000,Хамовники,Трубецкая,Фрунзенская,Садовые кварталы,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,45,1,0,4,10835.12
Homeapp,19,23,2,69.3,37000000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,553,1,0,5,1.0
МССЗ,10,19,1,45.4,18140932,Нагатинский затон,не указано,Коломенская,Ривер Парк ЖК,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,13,1,0,5,1.0
А101,16,19,2,49.9,12072994,не указано,не указано,Бунинская аллея,не указано,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,305,1,0,5,1.0
I AM ESTATE,7,17,2,47.0,14990000,не указано,не указано,Улица Горчакова,не указано,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,8,1,0,5,1.0
Основа,3,31,-1,22.98,8920836,Марфино,Ботаническая,Владыкино,VERY,Московское центральное кольцо,СВАО,4,33,67,0,83,6,11,0,103.0,2.97,35387,711.1,1315,169,1,0,5,11914.81
Этажи Москва,1,6,2,35.0,6700000,Северное Медведково,Полярная,Медведково,не указано,Калужско-Рижская линия,СВАО,8,4,28,68,27,0,73,0,8.0,5.66,127819,1764.0,977,257,1,1,3,22582.86
ID 28221252,3,7,-1,32.0,6700000,Коптево,Клары Цеткин,Красный Балтиец,не указано,None,САО,4,5,95,0,45,45,5,5,44.0,5.38,102076,2449.8,-1,1,0,0,3,18973.23
Самолет,2,14,2,52.1,16118287,Можайский,к2.2,Давыдково,Верейская 41 ЖК,Большая кольцевая линия,ЗАО,4,25,75,0,95,0,5,0,91.0,10.73,138610,2655.9,1525,214,1,0,4,12917.99
Capital Mars,8,9,5,229.0,154000000,Якиманка,2-й Казачий переулок,Полянка,не указано,Серпуховско-Тимирязевская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,807,27,1,0,3,5765.0
Навигатор,3,12,1,31.1,8500000,Текстильщики,Грайвороновская,Текстильщики,не указано,Таганско-Краснопресненская линия,ЮВАО,6,14,49,37,65,9,9,17,53.0,5.92,105267,1638.7,991,38,1,0,4,17781.59
НДВ,13,23,1,26.1,7050000,не указано,не указано,Рассказовка,не указано,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,83,1,0,5,1.0
На Петровке,7,12,5,200.0,180000000,Замоскворечье,Климентовский переулок,Новокузнецкая,не указано,Замоскворецкая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,1297,51,1,0,4,13681.71
REALTY PRО,3,3,1,14.7,3790000,Нижегородский,шоссе Фрезер,Нижегородская,не указано,Московское центральное кольцо,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1315,17,1,2,2,5983.36
Группа Родина,9,21,3,111.8,48385800,Ростокино,Сельскохозяйственная,Ботанический сад,СОЮЗ,Московское центральное кольцо,СВАО,4,50,39,11,34,44,0,22,113.0,3.54,40082,732.8,1315,54,1,0,5,11322.6
RMRealty,10,28,2,68.0,31500000,Щукино,Авиационная,Щукинская,Алые Паруса,Таганско-Краснопресненская линия,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,991,13,1,0,5,14460.73
Homeapp,5,9,1,32.2,7950000,Лосиноостровский,Тайнинская,Медведково,не указано,Калужско-Рижская линия,СВАО,6,14,83,3,78,0,22,0,74.0,5.54,82899,1486.0,977,553,1,0,3,14963.72
Наталья Романова,7,12,1,35.0,8700000,Гольяново,Байкальская,Щелковская,не указано,None,ВАО,5,20,80,0,83,0,17,0,83.0,14.99,163009,3024.1,-1,1,0,0,4,10874.52
Самолет,1,11,2,31.3,8429245,Молжаниновский,Северный ао,Водники,Молжаниново ЖК,None,САО,5,83,17,0,100,0,0,0,117.0,21.78,12194,69.9,-1,214,1,1,4,559.87
ID 13686024,5,9,3,56.5,12650000,Вешняки,Снайперская,Выхино,не указано,Таганско-Краснопресненская линия,ВАО,5,11,89,0,77,23,0,0,67.0,10.72,122285,1976.8,991,1,0,0,3,11407.18
ID 90919843,5,15,1,32.5,10800000,Хорошевский,Ходынский бульвар,ЦСКА,Лайнер,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,1,0,0,4,1.0
БСК-Санкт-Петербург,9,13,2,133.3,149934755,Арбат,Новый Арбат,Смоленская,Звёзды Арбата,Филёвская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,896,34,1,0,4,17120.85
Forma,21,34,2,46.58,30366480,Пресненский,к1.1,Белорусская,Репаблик ЖК,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,146,1,0,5,10945.47
Monumental Group,2,7,2,100.0,95000000,Арбат,Филипповский переулок,Арбатская,не указано,Филёвская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,896,88,1,0,3,17120.85
INSIGMA,5,8,1,57.0,76494000,Таганский,Большой Николоворобинский переулок,Китай-город,не указано,Калужско-Рижская линия,ЦАО,6,1,36,63,0,0,25,75,3.0,8.01,123398,2380.6,977,24,1,0,3,15405.49
ГОРОБМЕН,6,12,1,21.0,5170000,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,37,1,0,4,1.0
Основа,12,13,3,191.3,73267900,Замоскворечье,Большой Строченовский переулок,Павелецкая,Резиденции Замоскворечье,Замоскворецкая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,1297,169,1,0,4,13681.71
Homeapp,7,7,2,57.0,18500000,Войковский,Ленинградское шоссе,Войковская,не указано,Замоскворецкая линия,САО,5,38,31,31,50,0,50,0,101.0,6.61,70729,1531.0,1297,553,1,2,3,10700.3
apartgo,4,5,2,29.0,4450000,Черемушки,Херсонская,Зюзино,не указано,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,5,1,0,2,1.0
ПИК,2,16,2,54.59,15934821,Дмитровский,не указано,Яхромская,Дмитровский Парк ЖК,None,САО,8,21,79,0,44,3,50,3,84.0,7.29,93468,1364.5,-1,1263,1,0,4,12821.4
ПИК,4,32,1,35.3,13380959,Филевский парк,не указано,Багратионовская,Барклая 6 ЖК,Филёвская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,896,1263,1,0,5,1.0
Forma,-1,-1,-1,202.0,31410668,Пресненский,к1.1,Белорусская,Репаблик ЖК,Кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,597,146,1,2,1,10945.47
Ташир,2,32,1,45.4,18638970,Черемушки,Херсонская,Калужская,ONYX Deluxe,Калужско-Рижская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,977,63,1,0,5,1.0
МОСКВА СИТИ,8,78,3,92.0,55200000,Пресненский,1-й Красногвардейский проезд,Выставочная,NEVA TOWERS,Филёвская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,896,23,1,0,6,10945.47
ANT Development,20,32,2,50.8,44830642,Дорогомилово,Поклонная,Парк Победы,Поклонная 9,Арбатско-Покровская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,1065,72,1,0,5,9571.45
Homeapp,2,17,1,40.2,9050000,не указано,не указано,Коммунарка,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,553,1,0,5,1.0
ПИК,26,33,1,25.57,8241211,Метрогородок,к1/3,Бульвар Рокоссовского,Лосиноостровский Парк ЖК,Московское центральное кольцо,ВАО,4,0,100,0,100,0,0,0,31.0,27.57,39024,575.7,1315,1263,1,0,5,1415.45
MCRealty,80,85,3,200.0,120000000,Пресненский,1-й Красногвардейский проезд,Деловой центр,МФК ОКО,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,44,1,0,6,10945.47
ПИК,27,33,1,19.97,6572127,Нижегородский,к3.2,Нижегородская,Перовское 2 ЖК,Московское центральное кольцо,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1315,1263,1,0,5,5983.36
Винидиктов и Партнеры,17,26,2,38.2,14000000,Лефортово,Золоторожский Вал,Авиамоторная,Символ,Большая кольцевая линия,ЮВАО,9,8,55,37,13,8,53,26,36.0,9.06,95343,1384.2,1525,21,1,0,5,10523.51
Основа,2,29,-1,28.0,11200000,Фили-Давыдково,Ивана Франко,Кунцевская,MainStreet,Большая кольцевая линия,ЗАО,6,13,81,6,83,0,17,0,69.0,6.96,115128,2388.6,1525,169,1,0,5,16541.38
Самолет,2,15,1,25.7,6241588,не указано,не указано,Силикатная,Алхимово ЖК,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,214,1,0,4,1.0
ID 11145,5,11,1,24.6,7300000,не указано,не указано,Коммунарка,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,1,0,0,4,1.0
Новые Ватутинки,8,8,2,51.1,11308226,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,48,1,2,3,1.0
ФСК,9,22,1,34.7,12222381,Покровское-Стрешнево,Северо-Западный ао,Спартак,Движение Тушино ЖК,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,238,1,0,5,4604.81
Метриум-Премиум Городская недвижимость,24,76,5,224.9,146141628,Пресненский,набережная Пресненская,Деловой центр,Город Столиц,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,99,1,0,6,10945.47
Sminex-Интеко,1,6,4,92.5,145570000,Басманный,Потаповский переулок,Чистые пруды,Чистые Пруды,Сокольническая линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1452,184,1,1,3,13225.09
Whitewill Москва-Сити,19,85,-1,19.0,16900000,Пресненский,1-й Красногвардейский проезд,Деловой центр,МФК ОКО,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,37,1,0,6,10945.47
Monumental Group,6,7,5,252.0,130000000,Арбат,Большой Афанасьевский переулок,Арбатская,не указано,Филёвская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,896,88,1,0,3,17120.85
ID 82203677,4,10,1,31.0,7700000,Кунцево,5-я Мякининская,Строгино,Клубный дом Рублево,Арбатско-Покровская линия,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,1065,1,0,0,3,9200.72
SHOW ME,8,10,4,225.0,142600000,Аэропорт,Ленинградский проспект,Динамо,ВТБ Арена парк,Замоскворецкая линия,САО,6,3,32,65,16,0,49,35,5.0,4.58,79486,1939.7,1297,33,1,0,3,17355.02
КВАРТА-18,5,6,3,63.9,39999521,Тверской,Тверская,Чеховская,не указано,Серпуховско-Тимирязевская линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,807,4,1,0,3,10710.32
ID 43084541,4,8,5,87.9,38000000,Арбат,Новый Арбат,Смоленская,не указано,Филёвская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,896,2,0,0,3,17120.85
Bespoke Estate,11,13,5,232.5,65000000,Кунцево,Молодогвардейская,Кунцевская,не указано,Большая кольцевая линия,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,1525,64,1,0,4,9200.72
Sminex-Интеко,2,6,5,176.6,302480000,Басманный,Потаповский переулок,Чистые пруды,Чистые Пруды,Сокольническая линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1452,184,1,0,3,13225.09
Алла Любкина,2,5,1,16.2,5925150,Кузьминки,Окская,Кузьминки,My Space на Окской,Таганско-Краснопресненская линия,ЮВАО,4,16,49,35,29,0,61,10,60.0,8.15,145984,2312.7,991,2,0,0,2,17912.15
SOSHIN,7,25,5,200.0,93000000,Гагаринский,Губкина,Академическая,не указано,Калужско-Рижская линия,ЮЗАО,6,18,45,37,0,3,29,68,70.0,5.5,81877,2095.3,977,1,0,0,5,14886.73
Homeapp,2,8,3,64.0,40000000,Хамовники,переулок Сивцев Вражек,Кропоткинская,не указано,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,553,1,0,3,10835.12
Whitewill,3,8,2,36.0,44000000,Пресненский,Новинский бульвар,Баррикадная,Наркомфин,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,332,1,0,3,10945.47
Группа Родина,8,21,2,62.0,28286000,Ростокино,Сельскохозяйственная,Ботанический сад,СОЮЗ,Калужско-Рижская линия,СВАО,4,50,39,11,34,44,0,22,113.0,3.54,40082,732.8,977,54,1,0,5,11322.6
Level Group,14,24,2,45.1,11626664,Покровское-Стрешнево,проезд Проектируемый № 3959,Тушинская,Апартаментный комплекс Level Стрешнево,Таганско-Краснопресненская линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,991,232,1,0,5,4604.81
Apple Real Estate,11,24,4,122.0,50000000,Чертаново Центральное,Кировоградская,Пражская,не указано,Серпуховско-Тимирязевская линия,ЮАО,8,10,31,59,26,0,74,0,25.0,6.52,117092,2907.0,807,135,1,0,5,17958.9
ИМПЕРИАЛ,2,5,1,17.6,7999200,Хорошевский,Хорошевское шоссе,Беговая,не указано,Таганско-Краснопресненская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,991,85,1,0,2,1.0
ID 36397344,6,25,1,20.0,6999000,не указано,не указано,не указано,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,1,0,0,5,1.0
Homeapp,11,12,3,70.6,38990000,Дорогомилово,Украинский бульвар,Киевская,не указано,Филёвская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,896,553,1,0,4,9571.45
Адреса,5,9,2,43.9,12000000,Бибирево,Плещеева,Бибирево,не указано,Серпуховско-Тимирязевская линия,СВАО,6,4,78,18,12,0,88,0,34.0,6.45,160163,2521.8,807,4,1,0,3,24831.47
ПИК,9,21,-1,23.4,6873984,Сокольники,Сокольнический Вал,Рижская,Сокольнический вал 1,Большая кольцевая линия,ВАО,2,11,25,64,7,11,14,68,20.0,10.28,61487,1247.2,1525,1263,1,0,5,5981.23
Абсолют Недвижимость,1,12,2,69.9,15814978,не указано,не указано,Рассказовка,не указано,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,95,1,1,4,1.0
Capital Group,10,17,3,102.3,77748000,Дорогомилово,не указано,Киевская,Бадаевский ЖК,Филёвская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,896,117,1,0,5,9571.45
Желтый квадрат,10,12,5,115.5,25400000,Южное Бутово,Скобелевская,Улица Скобелевская,не указано,Бутовская линия Лёгкого метро,ЮЗАО,7,21,42,37,76,0,24,0,78.0,25.54,210676,4195.0,303,2,0,0,4,8248.86
Homeapp,4,21,4,150.0,65900000,Ломоносовский,Академика Пилюгина,Проспект Вернадского,не указано,Сокольническая линия,ЮЗАО,5,3,70,27,13,0,87,0,17.0,3.34,88320,2881.5,1452,553,1,0,5,26443.11
Арнольд Ложкин,2,5,4,86.1,33500000,Беговой,5-я Ямского Поля,Динамо,не указано,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,1,0,0,2,7694.42
Тауэрс,32,65,2,83.6,63870400,Пресненский,1-й Красногвардейский проезд,Выставочная,NEVA TOWERS,Филёвская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,896,18,1,0,6,10945.47
Level Group,14,24,1,33.1,10992186,Печатники,не указано,Кожуховская,Левел Южнопортовая ЖК,Люблинско-Дмитровская линия,ЮВАО,7,11,89,0,77,0,17,6,68.0,17.89,86587,1369.3,569,232,1,0,5,4839.97
Verges of estate,25,51,2,80.0,36000000,Обручевский,Ленинский проспект,Новаторская,Well House на Ленинском,Большая кольцевая линия,ЮЗАО,2,9,78,13,32,5,40,23,54.0,6.11,86793,1742.0,1525,71,1,0,6,14205.07
